v_avg,j_avg
1.007813275,-0.000692403
1.009463787,-0.000210496
1.012594592,-0.000121957
1.015618421,-0.000085099
1.018706855,-0.000054192
1.021805886,-0.000029016
1.024864663,-0.000010203
1.027992297,0.000006848
1.031048965,0.000021709
1.034120452,0.000033850
1.037211012,0.000046795
1.040325929,0.000059303
1.043403771,0.000070030
1.046500672,0.000077458
1.049511794,0.000087556
1.052617189,0.000099407
1.055680204,0.000106067
1.058770765,0.000113276
1.061875079,0.000124933
1.064957175,0.000129500
1.067991588,0.000137016
1.071128752,0.000147592
1.074201312,0.000150996
1.077281255,0.000159886
1.080325220,0.000165636
1.083440144,0.000174227
1.086489368,0.000180438
1.089615960,0.000187990
1.092677910,0.000194321
1.095765296,0.000202704
1.098801825,0.000208946
1.101959098,0.000218995
1.105026368,0.000224381
1.108102087,0.000231105
1.111156631,0.000242403
1.114274729,0.000246465
1.117301721,0.000254570
1.120413471,0.000264605
1.123483900,0.000269106
1.126549024,0.000275952
1.129647020,0.000285846
1.132753465,0.000292395
1.135793183,0.000300811
1.138845611,0.000307044
1.141976405,0.000315773
1.145011891,0.000322510
1.148049478,0.000328994
1.151220519,0.000340375
1.154303674,0.000346575
1.157361392,0.000351477
1.160449836,0.000362836
1.163542513,0.000368292
1.166626711,0.000375054
1.169707734,0.000385217
1.172758047,0.000389924
1.175827403,0.000398937
1.178912658,0.000407344
1.182050888,0.000412887
1.185118143,0.000422140
1.188159991,0.000429110
1.191250522,0.000437511
1.194330502,0.000444520
1.197411526,0.000450704
1.200516898,0.000460749
1.203586284,0.000466052
1.206651423,0.000472138
1.209776942,0.000482773
1.212815557,0.000486538
1.215887074,0.000494273
1.218995635,0.000504419
1.222054426,0.000507748
1.225171451,0.000516811
1.228219632,0.000524260
1.231280539,0.000530354
1.234414492,0.000540047
1.237445746,0.000544445
1.240599874,0.000553799
1.243674550,0.000558115
1.246739660,0.000563379
1.249809060,0.000575097
1.252864663,0.000580056
1.255946729,0.000585235
1.259053174,0.000596544
1.262112979,0.000598110
1.265147451,0.000602747
1.268183980,0.000615784
1.271314744,0.000620733
1.274373565,0.000629922
1.277449284,0.000639212
1.280496422,0.000644349
1.283653680,0.000651855
1.286670093,0.000660080
1.289760683,0.000669158
1.292875562,0.000680434
1.295953427,0.000685429
1.299086336,0.000702214
1.302134547,0.000707568
1.305168960,0.000717433
1.308295552,0.000732753
1.311377619,0.000740586
1.314400379,0.000752206
1.317522708,0.000769247
1.320636574,0.000776805
1.323683713,0.000791968
1.326738212,0.000807370
1.329820339,0.000820386
1.332901333,0.000837893
1.335977081,0.000851857
1.339097235,0.000873508
1.342148665,0.000891385
1.345200036,0.000908874
1.348318104,0.000935670
1.351417158,0.000955288
1.354452614,0.000977297
1.357634280,0.001011074
1.360655967,0.001037079
1.363715801,0.001072877
1.366777275,0.001140435
1.369891826,0.001196115
1.372968648,0.001262471
1.376035903,0.001375411
1.379160348,0.001540948
1.382285867,0.001795936
1.385307584,0.002169380
1.388552431,0.002794890
1.391814057,0.003622847
1.394850854,0.004583587
1.397976313,0.005765726
1.401003514,0.007158596
1.404103253,0.008637656
1.407154057,0.010241978
1.410294596,0.011938458
1.413337711,0.013694962
1.416431312,0.015447703
1.419501279,0.016942546
1.422557090,0.017801229
1.425692353,0.018563821
1.428750102,0.018153031
1.431806598,0.017178943
