time,conv
0,0
5,3.289106174988895
10,6.685465812205673
15,9.974571987194579
20,12.65590854289205
25,14.62222201707019
30,17.94707934613505
35,20.37815782330075
40,22.45172475970679
45,23.05949437899823
50,24.6325451583407
55,26.56310747844289
60,28.31491402816525
65,30.28122750234339
70,30.99625058386271
75,32.78380828766104
80,35.35789138113057
85,36.32317254118167
90,38.79000217242336
95,40.25579948953796
100,41.3998364199689
105,42.57962450447577
110,44.33143105419813
115,46.40499799060416
120,47.8350441536428
